epoch,train_dice,val_dice
1,0.8413238681219761,0.8574832766144364
2,0.8649625061384214,0.855834667329435
3,0.8663343915752336,0.8667842657477768
4,0.867863551853529,0.8681067360772027
5,0.8681086188827465,0.8526277851175379
6,0.8683363397916158,0.8663462753649112
7,0.8695886022125194,0.8688629534509447
8,0.8699639677222258,0.8671245000980519
9,0.8664572355793971,0.8674431906806098
10,0.8707803441028968,0.8716144937056082
11,0.8698914039368723,0.8676524449277807
12,0.8716010346132166,0.8685457640224032
13,0.8702747525732502,0.8673001770619992
14,0.8703132217226465,0.8718563980526395
15,0.8732408090354571,0.8697422190948769
16,0.8726853876332052,0.8598180700231481
17,0.8736565148129183,0.8734641803635491
18,0.8728862954121009,0.8750072850121392
19,0.874653977506301,0.8686820047873037
20,0.8749498631439957,0.8736465794068796
21,0.8761097932952682,0.8733752811396563
22,0.8755005496779299,0.8719981356903359
23,0.8739175017363106,0.8694508428926822
24,0.8778796971233842,0.8780817676473547
25,0.8786581517045015,0.8782490116578562
26,0.8781739259077832,0.875502226529298
27,0.878838064623814,0.8773994313346015
28,0.8790528197693669,0.8725809432842113
29,0.8794881615763396,0.8780241321634363
30,0.8793729029449762,0.8781115567242658
31,0.881413381084118,0.8785165437945613
32,0.8811386780801163,0.8775844551898815
33,0.8796091644592534,0.8756553618996231
34,0.8821992562487234,0.875019356056496
35,0.8819472509271958,0.8782213639329981
36,0.8822570236679775,0.8790229117428815
37,0.8828297822304021,0.8798058673187539
38,0.8833538854823393,0.8731206898336057
39,0.8830551368738312,0.8775377957909195
40,0.8832204240599489,0.8784634007347955
