lesion_key,sp_density_in,sp_density_ring,sp_ratio,sp_n_clusters,sp_max_cluster,sp_top_z,sp_z_p99,sp_native_px
P_00001_LEFT_1,0.028813461649282546,0.006902454512824761,2.19102245962192e-05,0.5,1.5,4.44320809841156,2.3607177734375,570.7368718386244
P_00004_LEFT_1,0.4448716773481217,0.7773251173301177,-0.00033218547658415124,5.0,7.0,6.4076621532440186,3.3724539279937744,636.373522695752
P_00004_RIGHT_1,0.10425028408202412,0.34014762406884586,-0.00023584493658202914,3.0,3.0,5.126130104064941,2.697962999343872,669.244128970605
P_00009_RIGHT_1,0.1753155680224404,0.4173366623739341,-0.00024196469061437098,0.0,1.0,4.1396870613098145,2.6979631185531616,338.27600137913385
P_00015_LEFT_1,0.050950221633464104,0.09911785112498761,-4.816401556033928e-05,0.0,1.0,4.097531318664551,2.023472309112549,384.2794986937071
P_00016_LEFT_1,1.0656833601999363,1.583610739275405,-0.0005170260374046801,7.5,20.0,7.975853204727173,2.697962999343872,526.6649454910837
P_00017_LEFT_1,0.39143511611300885,0.4423995752964077,-5.0884914323824995e-05,1.0,5.0,5.050249814987183,2.1920950412750244,281.0340033207792
P_00018_RIGHT_1,0.0,0.04868312156175454,-4.868075166925998e-05,0.0,0.0,3.431471824645996,2.023472309112549,440.1282645359404
P_00021_LEFT_1,0.0,0.056654013936887425,-5.665080450202647e-05,0.0,0.0,4.013220310211182,2.529340386390686,387.40137165123053
P_00021_RIGHT_1,0.32281942465996755,0.5426734240671853,-0.00021978250125726773,1.0,5.0,7.7060569524765015,2.697962999343872,322.5870593044604
P_00023_RIGHT_1,0.016998708098184538,0.46390796066060497,-0.00044669446394063323,0.0,0.5,3.6591124534606934,2.023472309112549,354.6816226562014
P_00026_LEFT_1,0.3011538358970207,0.05593466830741694,0.000245155626294246,1.0,4.0,5.631998538970947,3.0352084636688232,365.5352508511086
P_00027_RIGHT_1,0.0,0.0,0.0,0.0,0.0,3.397747039794922,2.1920950412750244,582.1911609840297
P_00032_RIGHT_1,0.20236982459122382,0.42515029698431017,-0.00022265879125029785,2.0,3.5,5.631997585296631,3.0352084636688232,619.9114083425045
P_00034_RIGHT_1,1.6161755614950803,1.764498960089294,-0.00014697269305202212,16.5,18.0,9.291110515594482,3.372453808784485,653.5655676571213
P_00037_RIGHT_1,0.0808257676131301,0.15106960830971153,-7.023493032251593e-05,1.0,6.0,5.6994469165802,2.529340386390686,650.2760165082738
