epoch,train_loss,train_dice,val_dice
1,0.7603359573027667,0.7949574852690977,0.8014920552571615
2,0.7335100173950195,0.8040973473997677,0.8038291290954307
3,0.7311453858232186,0.8038615564894832,0.7924952396640071
4,0.7313488398502076,0.8032982668845482,0.801526873200028
5,0.7282676307204502,0.8054729411804599,0.8024987490088852
6,0.7274379815930635,0.8048155989522249,0.7983623765133046
7,0.7268991618374594,0.8045972028588937,0.8002244609373587
8,0.7239202147994945,0.8054761820369296,0.8079384565353394
9,0.7199448717185875,0.8066318732461119,0.8058863525037412
10,0.7199849198067111,0.8066036662245109,0.8034491185788755
11,0.7195407304109311,0.8066109313684351,0.8054783918239452
12,0.7194801288492539,0.8068556992057102,0.8047848917819835
13,0.7181219941650341,0.8072527179531023,0.8064585637163233
14,0.7166016631656222,0.8069055388176364,0.8066685486722875
15,0.7153670382655524,0.8077249803574257,0.8091775819107339
16,0.7140466173489889,0.8079825857885523,0.8078359806979144
17,0.7141705186538447,0.8078157321300382,0.8075549933645461
18,0.7117644860074411,0.8084000625641518,0.8096272901252464
19,0.7113893320357877,0.80942414399066,0.8075937893655565
20,0.7112162775463529,0.809549112725102,0.8096681281372353
21,0.712396386791678,0.8085494847858653,0.8073643004452741
22,0.7110350685181961,0.809623574898913,0.8020896889545299
23,0.7092100997376286,0.8102193311148999,0.8080531160036722
24,0.7091052520508859,0.8095787381814197,0.8075026604864333
25,0.708892384385751,0.8100345820383309,0.8012987066198278
26,0.7076665618840385,0.8106807867685953,0.8064502124433164
27,0.7086978219693003,0.8102215247995713,0.8065360365090547
28,0.7076233851364235,0.80997860275842,0.8068517093305234
