epoch,train_dice,val_dice
1,0.846561005302504,0.8643621073828803
2,0.86294248096304,0.8640194137891134
3,0.8633323046896193,0.8578472711421825
4,0.8643410556456622,0.8536546936741581
5,0.8661129412308238,0.849734365940094
6,0.8672340130494312,0.8689836175353439
7,0.8688856390566607,0.8647863798671298
8,0.8676144200212815,0.8616638470579077
9,0.869650371713576,0.8646539824980276
10,0.8707016051984301,0.8706393837928772
11,0.8710379047331467,0.8682738939921061
12,0.8699833193635629,0.8708069501099763
13,0.8710785044564141,0.8675461190718191
14,0.8716433348219379,0.8437274628215365
15,0.8722697644451864,0.7803427312109206
16,0.8730292222858255,0.7827873715647945
17,0.873497820368,0.8727264669206407
18,0.874081507617352,0.8165642707436173
19,0.8741515161944371,0.7943623728222318
20,0.8751343266636717,0.87001590596305
21,0.873082416899064,0.8675360127731606
22,0.873333537890241,0.874820265505049
23,0.8755132232616151,0.8707565753548233
24,0.8754758156982123,0.8653917400925247
25,0.8767830063314999,0.8703637652926974
26,0.8761655945403903,0.8698034065741079
27,0.8768703283048144,0.8535192432226958
28,0.8787747302086525,0.8739978516543353
29,0.8788465931524638,0.8759141211156491
30,0.8788677177398033,0.8658126217347605
31,0.8796145693928588,0.8754148196291041
32,0.8796594096165077,0.8761157437607094
33,0.8796058967222575,0.8761351682521679
34,0.8797783041312024,0.8771700373402348
35,0.8799081491489037,0.875983350806766
36,0.8779607629464343,0.8764700359768338
37,0.8804798589812385,0.8604054053624471
38,0.8809068958743725,0.8679157076058565
39,0.8801837875172983,0.8762873212496439
40,0.8820858570485334,0.8783185459949352
