i,abn,split,ok,why,area,midtone,black_in_mask,mean_in,mean_out,contrast,centroid_dist
0,calcification,test,True,ok,0.48236083984375,1.0,0.0,106.73079843097558,102.43744841410211,4.293350016873475,80.23943181018129
1,calcification,test,True,ok,0.4691925048828125,0.93023681640625,0.0,67.42089173631663,60.981171127145195,6.439720609171438,119.02792635783726
2,calcification,test,True,ok,0.2328338623046875,0.9353790283203125,0.0,83.28389802739368,70.77106828171928,12.512829745674395,93.49191379611477
3,calcification,test,True,ok,0.4848175048828125,1.0,0.0,98.58408082334057,95.2973965583627,3.2866842649778647,109.86662989974936
4,calcification,test,True,ok,0.1922149658203125,1.0,0.0,99.48019369691197,95.61718203970608,3.863011657205888,141.84693152403005
5,calcification,test,True,ok,0.3113861083984375,0.9999542236328125,0.0,105.0087714999755,94.87923508165481,10.129536418320683,87.01618886576034
6,calcification,test,True,ok,0.421142578125,0.992584228515625,0.0,100.8388768115942,51.92368726275833,48.915189548835876,14.945962081950906
7,calcification,test,True,ok,0.37762451171875,1.0,0.0,126.77679004363989,89.30440325585957,37.47238678778032,25.537840995947455
8,calcification,test,True,ok,0.4776763916015625,1.0,0.0,161.6835010381728,160.47968215944613,1.203818878726679,75.36664779535543
9,calcification,test,True,ok,0.447662353515625,1.0,0.0,176.88042811370917,174.3436930217139,2.5367350919952685,57.2846300558295
10,calcification,test,True,ok,0.441497802734375,1.0,0.0,125.44411419091726,117.63873558821922,7.805378602698042,7.76022113891716
11,calcification,test,True,ok,0.4190673828125,1.0,0.0,136.0284736382173,128.56259193107795,7.465881707139346,16.961588617963482
12,calcification,test,True,ok,0.4672088623046875,1.0,0.0,116.79822985727816,110.6894922244179,6.1087376328602545,49.305307507470346
13,calcification,test,True,ok,0.480682373046875,1.0,0.0,68.68592470319345,65.37944408532644,3.3064806178670096,112.51292800582452
14,calcification,test,True,ok,0.4162750244140625,0.9998016357421875,0.0,208.64392800850408,201.11580185596654,7.5281261525375385,107.49838116531471
15,calcification,test,True,ok,0.438446044921875,1.0,0.0,166.76104962761886,160.96671376555622,5.794335862062638,135.83495057047452
16,calcification,test,True,ok,0.41339111328125,1.0,0.0,132.57884246271962,120.97705753823743,11.601784924482189,126.22552735534775
17,calcification,test,True,ok,0.3701324462890625,1.0,0.0,149.3650904893433,149.35611327793794,0.008977211405351682,90.23194952364499
18,calcification,test,True,ok,0.3929290771484375,1.0,0.0,160.40623665100384,157.4619077541787,2.944328896825141,70.28755498860767
19,calcification,test,True,ok,0.47601318359375,1.0,0.0,137.2452558020259,115.5401281304601,21.70512767156579,98.03628944407407
20,calcification,test,True,ok,0.46917724609375,1.0,0.0,99.40805906075192,98.42896975968725,0.9790893010646755,103.91972887919025
21,calcification,test,True,ok,0.4895172119140625,1.0,0.0,154.31342539197655,144.52374831863696,9.78967707333959,77.00073873783239
22,calcification,test,True,ok,0.48797607421875,1.0,0.0,107.42873671044403,113.71644415305758,-6.287707442613552,61.73007595026493
23,calcification,test,True,ok,0.4626922607421875,1.0,0.0,188.98027899614155,179.09436855706699,9.885910439074564,9.032876392227394
24,calcification,test,True,ok,0.4812774658203125,1.0,0.0,151.98471830316097,138.32469480806,13.660023495100972,52.888163914216165
25,calcification,test,True,ok,0.4541778564453125,1.0,0.0,162.40745842432386,162.29537893824607,0.11207948607778917,60.51217067662852
26,calcification,test,True,ok,0.4130401611328125,1.0,0.0,178.61354316746093,169.1981698598799,9.415373307581035,33.49577888988449
27,calcification,test,True,ok,0.462432861328125,1.0,0.0,151.943773510196,150.33312517740563,1.6106483327903618,133.54410948756365
28,calcification,test,True,ok,0.4346923828125,1.0,0.0,143.13121314237574,131.84987043835025,11.28134270402549,109.51353096228107
29,calcification,test,True,ok,0.4720306396484375,1.0,0.0,136.53311782770325,129.3070142481431,7.226103579560146,45.57183820017601
30,calcification,test,True,ok,0.4498443603515625,1.0,0.0,133.24921135646687,133.23586187768686,0.013349478780014579,40.922962154327806
31,calcification,test,True,ok,0.4390411376953125,1.0,0.0,158.37733291627566,153.66741016783178,4.709922748443887,9.271143751472206
32,calcification,test,True,ok,0.468353271484375,1.0,0.0,166.55844790512805,161.25010045347568,5.3083474516523665,23.783846430007312
33,calcification,test,True,ok,0.461029052734375,0.916656494140625,0.0,136.55093665188323,105.11437630938225,31.436560342500982,60.38589858216404
34,calcification,test,True,ok,0.445159912109375,0.9340972900390625,0.0,134.82624940015083,103.13965128430779,31.68659811584304,19.447591433990002
35,calcification,test,True,ok,0.415283203125,0.7253265380859375,0.09174750146972369,124.1251102292769,91.64125782881003,32.48385240046687,97.29452721282077
36,calcification,test,True,ok,0.44171142578125,0.9729156494140625,0.0,135.10577587398092,107.40756532196349,27.69821055201743,69.64960548359548
37,calcification,test,True,ok,0.326202392578125,1.0,0.0,156.2389840022453,126.64328094569501,29.595703056550292,46.458883042575856
38,calcification,test,True,ok,0.2946624755859375,0.9013214111328125,0.0,169.47563564807623,115.29274202271498,54.18289362536126,77.30799531331382
39,calcification,test,True,ok,0.4580078125,1.0,0.0,117.94392990405117,120.48963963963963,-2.54570973558846,35.72208380131848
40,calcification,test,True,ok,0.46783447265625,1.0,0.0,94.38228962818003,91.62122949879573,2.7610601293843047,66.89369289672334
41,calcification,test,True,ok,0.41375732421875,1.0,0.0,70.37641982593303,67.28508589276419,3.0913339331688405,7.477109052872761
42,calcification,test,True,ok,0.412994384765625,1.0,0.0,78.88287888864258,76.95011697426567,1.9327619143769112,11.118668044540366
43,calcification,test,True,ok,0.46734619140625,1.0,0.0,161.92013843541858,161.11109201329208,0.8090464221264995,101.92488116763634
44,calcification,test,True,ok,0.4578704833984375,1.0,0.0,116.70373579498117,117.65264994792986,-0.9489141529486886,145.86603576870903
45,calcification,test,True,ok,0.427276611328125,1.0,0.0,93.84793943289765,91.17818511216497,2.669754320732679,37.564557038406775
46,calcification,test,True,ok,0.292938232421875,1.0,0.0,152.37832065840192,153.5791790754888,-1.2008584170868914,60.759364089424956
47,calcification,test,True,ok,0.430816650390625,1.0,0.0,131.6028547141744,128.71484102729076,2.888013686883653,13.729512339663305
48,calcification,test,True,ok,0.45849609375,1.0,0.0,152.17608493077742,147.48774233543733,4.688342595340089,17.059903285198615
49,calcification,test,True,ok,0.4488677978515625,0.9457550048828125,0.0,136.56562531869326,103.90869071679725,32.65693460189601,130.15876995408757
50,calcification,test,True,ok,0.20196533203125,0.9999237060546875,0.0,125.01019945602901,97.66070745697897,27.349491999050045,102.47131336094687
51,calcification,test,True,ok,0.265228271484375,1.0,0.0,122.42308134852146,114.08105245670141,8.34202889182005,123.18234348096551
52,calcification,test,True,ok,0.4011383056640625,1.0,0.0,158.0623454676861,158.22804290773817,-0.165697440052071,82.74638765728324
53,calcification,test,True,ok,0.4669952392578125,1.0,0.0,133.333082829603,119.20657868369071,14.126504145912293,54.40586856043952
54,calcification,test,True,ok,0.445281982421875,1.0,0.0,161.7412103351381,146.68314353303626,15.058066802101848,55.01225371323114
