epoch,train_dice,val_dice
1,0.8355798826498144,0.864308602280087
2,0.8609455297974979,0.8441241626386289
3,0.8629444599930757,0.8636817711370962
4,0.8663507107815711,0.8671723780808626
5,0.8671887731240466,0.8691016060334665
6,0.8708177820529813,0.8646189504199557
7,0.8694997862273571,0.8715227687800372
8,0.8713256720623939,0.8698048128022088
9,0.87184983686684,0.8647964662975736
10,0.871884763630387,0.8703829844792684
11,0.8726866997145359,0.8702634263921667
12,0.8729853127516952,0.8700585497750176
13,0.8753771481950299,0.8705162604649862
14,0.8760136034753587,0.8760100691406815
15,0.8763300585590936,0.8758646602983828
16,0.8765254725817762,0.8711345063315498
17,0.8770551108846477,0.8721937183980588
18,0.8777643625253166,0.8755032552613152
19,0.877156000511319,0.8742641784526684
20,0.8793098166877148,0.875535042197616
21,0.8801279290049684,0.8724733105412236
22,0.8797570700738945,0.8764424213656673
23,0.8802114771861657,0.8728911126101458
24,0.8808982637193468,0.8773920756799204
25,0.8791288121852999,0.8778984016842313
26,0.8808694668844634,0.8750823780342385
27,0.8815579161145328,0.8762634506932011
28,0.8814556505165848,0.8784036349367212
29,0.8789720730064741,0.87631462459211
30,0.8785953282141218,0.8790197416588112
31,0.8821625545913098,0.877552315040871
32,0.8829219734746646,0.8773561671928123
33,0.8828201812077192,0.878744156272323
34,0.8832642015288857,0.8793157935142517
35,0.8830741441327762,0.878946946726905
36,0.883525255069234,0.879882604987533
37,0.8830651029262667,0.8800783135272838
38,0.8842071871352352,0.8787894381417168
39,0.884255238607818,0.8780348830752902
40,0.8844537995999155,0.8796533346176147
