Dueling (yours),Plain head
0.9106471030851944,0.9192642191951065
0.8619178191864741,0.8866913544492072
0.9475523804037803,0.9535791923973114
0.9111511213747874,0.9209690962339574
0.8632778264682829,0.9033481531429163
0.9038927174522184,0.9093485504195371
0.8925625934059807,0.9097424753628224
0.9204268400411285,0.9323258989532411
0.9023017119223655,0.9239364673957939
0.8820080458788796,0.8895584505670787
0.798627787307439,0.8078498222568076
0.9150515007200594,0.8938613934991844
0.9333035996358862,0.9609574938906638
0.8684349842095175,0.8658238172922552
0.8579248569298564,0.8661262395721192
0.7397934087561154,0.7330547613817175
0.8506495951800966,0.8379596957581785
0.9108338153873423,0.9157950343372091
0.8829641842204852,0.9100635395255324
0.9633678492616476,0.9511468728774559
0.9380847600137067,0.9498594018187382
0.9165722379604877,0.9491412987396824
0.9650493577772515,0.9697594895601089
0.9460741635721717,0.946893389653152
0.8659559291321433,0.8535177413955641
0.825680165215362,0.8364610262803645
0.9462753630880676,0.9582434319076782
0.9077873216442327,0.9186730678989303
0.8673951503801283,0.8875498563282421
0.9518524727578342,0.9584682236034165
0.8762710116533438,0.8936151667032173
0.883877676783462,0.9024942402085495
0.8973756214114275,0.8847228824034895
0.8726642428344621,0.8838847708169258
0.8944610923153321,0.908687556946661
0.8438496280555197,0.823468791865921
0.8919519257469122,0.9041787186905775
0.7425972517907052,0.7206570002756088
0.8541247484912392,0.8781492968520241
0.8316272361228558,0.810623284986651
0.8718893219688356,0.8712706118872655
0.7818340741295832,0.7625072526160652
0.9575858619540554,0.9681815084827141
0.949181937172858,0.9063037697483249
0.8464588543893807,0.8497392168228957
0.9170944558523081,0.9386645219357372
0.8972054435632465,0.9290158102016153
0.9293857042521126,0.9450874533151923
0.9137974704920319,0.9371208038524814
0.9415574679901323,0.9006236613331539
0.900876077434116,0.913957105139582
0.8744877049182624,0.8730572844846016
0.8407532865556885,0.8739771555988263
0.9236375271073916,0.942298820881032
0.8752566735115399,0.8971195080510213
0.9051114579120569,0.9125930657300294
0.9500053719157147,0.956667588240795
0.9417499648037067,0.9543808577109586
