epoch,val_acc,sens,spec,prec,f1,auc
1,0.6976744184424013,0.5254237285167098,0.8181818178584261,0.6690647477200974,0.5886075452872178,0.7917531989013198
2,0.7069767440216332,0.6892655363337483,0.7193675886484713,0.6321243520040807,0.6594594091964976,0.7848417855787053
3,0.7162790696008653,0.638418078735357,0.7707509878376478,0.6608187130638488,0.6494252369979561,0.8049284294678548
4,0.7302325579697133,0.7062146888665454,0.7470355728272586,0.6613756610257272,0.6830600589701132,0.7910497755744623
5,0.7116279068112493,0.700564971355613,0.7193675886484713,0.6358974355713347,0.666666616425313,0.7902458632009111
6,0.7395348835489454,0.5932203386478981,0.8418972328688153,0.7241379305350774,0.6521738631322131,0.8280409102074541
7,0.7232558137852894,0.7288135589102749,0.7193675886484713,0.6449999996775,0.6843500824490464,0.7983743105334853
8,0.7069767440216332,0.8813559317054487,0.5849802369229328,0.597701149196283,0.7123287186370207,0.8099305509032849
9,0.7325581393645213,0.7118644063774777,0.7470355728272586,0.6631578943878117,0.6866484510509432,0.8237533775485139
10,0.7441860463385613,0.700564971355613,0.7747035570060461,0.685082872549678,0.6927373797868392,0.8180143364373283
11,0.7162790696008653,0.7175141238884101,0.7154150194800731,0.6381909544531704,0.67553186470547,0.7966548312900561
12,0.7465116277333693,0.5706214686041687,0.8695652170476027,0.7537313427210961,0.6495176354256094,0.8307317835689243
13,0.7720930230762574,0.6949152538446807,0.8260869561952225,0.7365269456667504,0.7151162286962581,0.845347357138072
14,0.7488372091281773,0.5762711861151011,0.8695652170476027,0.7555555549958848,0.6538461043330905,0.821832920211697
15,0.7488372091281773,0.6327683612244247,0.8300395253636208,0.7225806446951093,0.6746987449938344,0.8339809294120274
16,0.7162790696008653,0.7288135589102749,0.7075098811432767,0.6354679799825281,0.6789473182977876,0.7923561331814832
17,0.7418604649437534,0.6666666662900188,0.794466402848037,0.694117646650519,0.6801152234035699,0.8127330787610817
18,0.6999999998372093,0.683615818822816,0.711462450311675,0.6237113398846849,0.6522910548746415,0.7672785333065363
19,0.7674418602866414,0.6553672312681541,0.8458498020372135,0.7483870962913632,0.698795130521487,0.8257184966838614
20,0.7395348835489454,0.6497175137572218,0.8023715411848334,0.6969696965472911,0.6725145695513187,0.8092271275764276
21,0.7418604649437534,0.5649717510932363,0.8656126478792046,0.746268656159501,0.6430867672625423,0.8197561465800229
22,0.7604651161022173,0.6949152538446807,0.8063241103532316,0.7151162786540022,0.7048710097782483,0.8296264040552915
23,0.7325581393645213,0.5762711861151011,0.8418972328688153,0.7183098586490776,0.6394983828028459,0.8097742346084279
