matched_path,label,split
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.312534744711605661541803465221097941837/1-270.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.408747155111577280306811521320058900193/1-245.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.282974639611597066801307931391859618854/1-278.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.22897265913956596401635798171609789155/1-102.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.86963448511045122041075442212834122920/1-265.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.57142072012510386804605528754197916778/1-064.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.354550391311324593408537734891989203486/1-093.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.185803086713252285434801304770008755269/1-240.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.419182568611734768416766470934150032083/1-086.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.86710351210120435930226054442062523589/1-012.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.116106650012072786330110383943230349284/1-186.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.32149518511915385609952278041024049186/1-278.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.172531564613997158300988097434144332160/1-119.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.18577053211265284641787014862885024889/1-271.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.122498771111102445907467078994049533119/1-219.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.273549326911385381909383535383092382737/1-235.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.256865869712856040028574703483657997278/1-003.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.128200236813329591335232910590523767712/1-235.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.870441212875580441410211132579029378/1-024.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.175059819012853579639076090122257797009/1-110.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.117135550711719008703695523040042530510/1-287.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.320826611612327945436960009562665520953/1-102.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.375495821812572160529387445071721834900/1-237.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.326975717111872634419019915780525965766/1-222.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.20072197313645370826886270961838931613/1-213.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.260011008711647820440188054240387217645/1-249.jpg,0,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.283698635311271285431196161914106924769/1-231.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.37419336012908040037130326094040117784/1-012.jpg,1,train
/root/autodl-tmp/CBIS/jpeg/1.3.6.1.4.1.9590.100.1.2.359651853712808948841056639084050736630/1-117.jpg,0,train
